Course (abbrev);Date (or Period);Duration (hours);Customer;City
Java;Sep/1998 -> Jan/2001;40;Politec/ {Anatel};{Brasilia}
Java;Sep/1998 -> Jan/2001;40;Politec/ {CEF};{Brasilia}
Delphi 4.0;Sep/1998 -> Jan/2001;40;Politec/ Secretaria da Fazenda;{Brasilia}
J2EE (Servlet/JSP/EJB);Sep/1998 -> Jan/2001;40;Politec/ Banco do Brasil;{Brasilia}
C for Unix;Mar/1995 -> Sep/1998;40;Câmara de Dirigentes Logistas;{Goiania}
Data Structures and C;Mar/1995 -> Sep/1998;60;Universidade Católica de Goiás;{Goiania}
Delphi 2.0;Mar/1995 -> Sep/1998;40;ENCIDEC;{Goiania}
Delphi 2.0;Mar/1995 -> Sep/1998;40;SESI;{Goiania}
Delphi 2.0;Mar/1995 -> Sep/1998;40;Escola Técnica Federal de Goiás;{Goiania}
Delphi 2.0;Mar/1995 -> Sep/1998;40;Televisão Anhanguera;{Goiania}
